n,register_e_symbol,omega_lower_case,omega_upper_case,liouville_function,prime_counter,tape_cp_n_start,register_psf_out,prime_square_free_counter,tape_psf_n_start,mobius_function_mu,mertens_function,semiprime,semiprime_counter
1707,M,2,2,1,266,M,F,1040,S,1,-12,true,491
1708,M,3,4,1,266,L,S,1040,C,0,-12,false,491
1709,P,1,1,-1,267,M,F,1041,S,-1,-13,false,491
1710,M,4,5,-1,267,M,S,1041,C,0,-13,false,491
1711,M,2,2,1,267,M,F,1042,S,1,-12,true,492
1712,M,2,5,-1,267,M,S,1042,C,0,-12,false,492
1713,M,2,2,1,267,M,F,1043,C,1,-11,true,493
1714,M,2,2,1,267,M,F,1044,S,1,-10,true,494
1715,M,2,4,1,267,M,S,1044,S,0,-10,false,494
1716,M,4,5,-1,267,M,S,1044,C,0,-10,false,494
1717,M,2,2,1,267,M,F,1045,C,1,-9,true,495
1718,M,2,2,1,267,M,F,1046,S,1,-8,true,496
1719,M,2,3,-1,267,M,S,1046,S,0,-8,false,496
1720,M,3,5,-1,267,L,S,1046,C,0,-8,false,496
1721,P,1,1,-1,268,M,F,1047,C,-1,-9,false,496
1722,M,4,4,1,268,L,F,1048,C,1,-8,false,496
1723,P,1,1,-1,269,M,F,1049,S,-1,-9,false,496
1724,M,2,3,-1,269,M,S,1049,S,0,-9,false,496
1725,M,3,4,1,269,M,S,1049,C,0,-9,false,496
1726,M,2,2,1,269,M,F,1050,C,1,-8,true,497
1727,M,2,2,1,269,M,F,1051,S,1,-7,true,498
1728,M,2,9,-1,269,M,S,1051,C,0,-7,false,498
1729,M,3,3,-1,269,M,F,1052,C,-1,-8,false,498
1730,M,3,3,-1,269,M,F,1053,C,-1,-9,false,498
1731,M,2,2,1,269,M,F,1054,S,1,-8,true,499
1732,M,2,3,-1,269,L,S,1054,C,0,-8,false,499
1733,P,1,1,-1,270,M,F,1055,S,-1,-9,false,499
1734,M,3,4,1,270,M,S,1055,C,0,-9,false,499
1735,M,2,2,1,270,M,F,1056,S,1,-8,true,500
1736,M,3,5,-1,270,M,S,1056,S,0,-8,false,500
1737,M,2,3,-1,270,M,S,1056,C,0,-8,false,500
1738,M,3,3,-1,270,M,F,1057,C,-1,-9,false,500
1739,M,2,2,1,270,M,F,1058,S,1,-8,true,501
1740,M,4,5,-1,270,L,S,1058,C,0,-8,false,501
1741,P,1,1,-1,271,M,F,1059,C,-1,-9,false,501
1742,M,3,3,-1,271,M,F,1060,C,-1,-10,false,501
1743,M,3,3,-1,271,M,F,1061,S,-1,-11,false,501
1744,M,2,5,-1,271,M,S,1061,C,0,-11,false,501
1745,M,2,2,1,271,M,F,1062,S,1,-10,true,502
1746,M,3,4,1,271,L,S,1062,C,0,-10,false,502
1747,P,1,1,-1,272,M,F,1063,S,-1,-11,false,502
1748,M,3,4,1,272,M,S,1063,C,0,-11,false,502
1749,M,3,3,-1,272,M,F,1064,S,-1,-12,false,502
1750,M,3,5,-1,272,M,S,1064,C,0,-12,false,502
1751,M,2,2,1,272,M,F,1065,S,1,-11,true,503
1752,M,3,5,-1,272,L,S,1065,C,0,-11,false,503
1753,P,1,1,-1,273,M,F,1066,C,-1,-12,false,503
1754,M,2,2,1,273,M,F,1067,S,1,-11,true,504
1755,M,3,5,-1,273,M,S,1067,S,0,-11,false,504
1756,M,2,3,-1,273,M,S,1067,C,0,-11,false,504
1757,M,2,2,1,273,M,F,1068,C,1,-10,true,505
1758,M,3,3,-1,273,L,F,1069,C,-1,-11,false,505
1759,P,1,1,-1,274,M,F,1070,S,-1,-12,false,505
1760,M,3,7,-1,274,M,S,1070,C,0,-12,false,505
1761,M,2,2,1,274,M,F,1071,C,1,-11,true,506
1762,M,2,2,1,274,M,F,1072,C,1,-10,true,507
1763,M,2,2,1,274,M,F,1073,S,1,-9,true,508
1764,M,3,6,1,274,M,S,1073,C,0,-9,false,508
1765,M,2,2,1,274,M,F,1074,C,1,-8,true,509
1766,M,2,2,1,274,M,F,1075,C,1,-7,true,510
1767,M,3,3,-1,274,M,F,1076,S,-1,-8,false,510
1768,M,3,5,-1,274,M,S,1076,C,0,-8,false,510
1769,M,2,2,1,274,M,F,1077,C,1,-7,true,511
1770,M,4,4,1,274,M,F,1078,C,1,-6,false,511
1771,M,3,3,-1,274,M,F,1079,S,-1,-7,false,511
1772,M,2,3,-1,274,M,S,1079,S,0,-7,false,511
1773,M,2,3,-1,274,M,S,1079,C,0,-7,false,511
1774,M,2,2,1,274,M,F,1080,S,1,-6,true,512
1775,M,2,3,-1,274,M,S,1080,S,0,-6,false,512
1776,M,3,6,1,274,L,S,1080,C,0,-6,false,512
1777,P,1,1,-1,275,M,F,1081,C,-1,-7,false,512
1778,M,3,3,-1,275,M,F,1082,C,-1,-8,false,512
1779,M,2,2,1,275,M,F,1083,S,1,-7,true,513
1780,M,3,4,1,275,M,S,1083,C,0,-7,false,513
1781,M,2,2,1,275,M,F,1084,S,1,-6,true,514
1782,M,3,6,1,275,L,S,1084,C,0,-6,false,514
1783,P,1,1,-1,276,M,F,1085,S,-1,-7,false,514
1784,M,2,4,1,276,M,S,1085,C,0,-7,false,514
1785,M,4,4,1,276,M,F,1086,C,1,-6,false,514
1786,M,3,3,-1,276,L,F,1087,C,-1,-7,false,514
1787,P,1,1,-1,277,M,F,1088,S,-1,-8,false,514
1788,M,3,4,1,277,L,S,1088,C,0,-8,false,514
1789,P,1,1,-1,278,M,F,1089,C,-1,-9,false,514
1790,M,3,3,-1,278,M,F,1090,S,-1,-10,false,514
1791,M,2,3,-1,278,M,S,1090,S,0,-10,false,514
1792,M,2,9,-1,278,M,S,1090,C,0,-10,false,514
1793,M,2,2,1,278,M,F,1091,C,1,-9,true,515
1794,M,4,4,1,278,M,F,1092,C,1,-8,false,515
1795,M,2,2,1,278,M,F,1093,S,1,-7,true,516
1796,M,2,3,-1,278,M,S,1093,C,0,-7,false,516
1797,M,2,2,1,278,M,F,1094,C,1,-6,true,517
1798,M,3,3,-1,278,M,F,1095,C,-1,-7,false,517
1799,M,2,2,1,278,M,F,1096,S,1,-6,true,518
1800,M,3,7,-1,278,L,S,1096,C,0,-6,false,518
1801,P,1,1,-1,279,M,F,1097,C,-1,-7,false,518
1802,M,3,3,-1,279,M,F,1098,C,-1,-8,false,518
1803,M,2,2,1,279,M,F,1099,S,1,-7,true,519
1804,M,3,4,1,279,M,S,1099,S,0,-7,false,519
1805,M,2,3,-1,279,M,S,1099,C,0,-7,false,519
1806,M,4,4,1,279,M,F,1100,C,1,-6,false,519
1807,M,2,2,1,279,M,F,1101,S,1,-5,true,520
1808,M,2,5,-1,279,M,S,1101,S,0,-5,false,520
1809,M,2,4,1,279,M,S,1101,C,0,-5,false,520
1810,M,3,3,-1,279,L,F,1102,C,-1,-6,false,520
1811,P,1,1,-1,280,M,F,1103,S,-1,-7,false,520
1812,M,3,4,1,280,M,S,1103,S,0,-7,false,520
1813,M,2,3,-1,280,M,S,1103,C,0,-7,false,520
1814,M,2,2,1,280,M,F,1104,S,1,-6,true,521
1815,M,3,4,1,280,M,S,1104,S,0,-6,false,521
1816,M,2,4,1,280,M,S,1104,C,0,-6,false,521
1817,M,2,2,1,280,M,F,1105,S,1,-5,true,522
1818,M,3,4,1,280,M,S,1105,C,0,-5,false,522
1819,M,2,2,1,280,M,F,1106,S,1,-4,true,523
1820,M,4,5,-1,280,M,S,1106,C,0,-4,false,523
1821,M,2,2,1,280,M,F,1107,C,1,-3,true,524
1822,M,2,2,1,280,L,F,1108,C,1,-2,true,525
1823,P,1,1,-1,281,M,F,1109,S,-1,-3,false,525
1824,M,3,7,-1,281,M,S,1109,S,0,-3,false,525
1825,M,2,3,-1,281,M,S,1109,C,0,-3,false,525
1826,M,3,3,-1,281,M,F,1110,S,-1,-4,false,525
1827,M,3,4,1,281,M,S,1110,S,0,-4,false,525
1828,M,2,3,-1,281,M,S,1110,C,0,-4,false,525
1829,M,2,2,1,281,M,F,1111,C,1,-3,true,526
1830,M,4,4,1,281,L,F,1112,C,1,-2,false,526
1831,P,1,1,-1,282,M,F,1113,S,-1,-3,false,526
1832,M,2,4,1,282,M,S,1113,C,0,-3,false,526
1833,M,3,3,-1,282,M,F,1114,C,-1,-4,false,526
1834,M,3,3,-1,282,M,F,1115,C,-1,-5,false,526
1835,M,2,2,1,282,M,F,1116,S,1,-4,true,527
1836,M,3,6,1,282,M,S,1116,C,0,-4,false,527
1837,M,2,2,1,282,M,F,1117,C,1,-3,true,528
1838,M,2,2,1,282,M,F,1118,C,1,-2,true,529
1839,M,2,2,1,282,M,F,1119,S,1,-1,true,530
1840,M,3,6,1,282,M,S,1119,C,0,-1,false,530
1841,M,2,2,1,282,M,F,1120,C,1,0,true,531
1842,M,3,3,-1,282,M,F,1121,C,-1,-1,false,531
1843,M,2,2,1,282,M,F,1122,S,1,0,true,532
1844,M,2,3,-1,282,M,S,1122,S,0,0,false,532
1845,M,3,4,1,282,M,S,1122,C,0,0,false,532
1846,M,3,3,-1,282,L,F,1123,C,-1,-1,false,532
1847,P,1,1,-1,283,M,F,1124,S,-1,-2,false,532
1848,M,4,6,1,283,M,S,1124,S,0,-2,false,532
1849,M,1,2,1,283,M,S,1124,S,0,-2,true,533
1850,M,3,4,1,283,M,S,1124,C,0,-2,false,533
1851,M,2,2,1,283,M,F,1125,S,1,-1,true,534
1852,M,2,3,-1,283,M,S,1125,C,0,-1,false,534
1853,M,2,2,1,283,M,F,1126,S,1,0,true,535
1854,M,3,4,1,283,M,S,1126,C,0,0,false,535
1855,M,3,3,-1,283,M,F,1127,S,-1,-1,false,535
1856,M,2,7,-1,283,M,S,1127,C,0,-1,false,535
1857,M,2,2,1,283,M,F,1128,C,1,0,true,536
1858,M,2,2,1,283,M,F,1129,S,1,1,true,537
1859,M,2,3,-1,283,M,S,1129,S,0,1,false,537
1860,M,4,5,-1,283,L,S,1129,C,0,1,false,537
1861,P,1,1,-1,284,M,F,1130,S,-1,0,false,537
1862,M,3,4,1,284,M,S,1130,S,0,0,false,537
1863,M,2,5,-1,284,M,S,1130,S,0,0,false,537
1864,M,2,4,1,284,M,S,1130,C,0,0,false,537
1865,M,2,2,1,284,M,F,1131,C,1,1,true,538
1866,M,3,3,-1,284,L,F,1132,C,-1,0,false,538
1867,P,1,1,-1,285,M,F,1133,S,-1,-1,false,538
1868,M,2,3,-1,285,M,S,1133,C,0,-1,false,538
1869,M,3,3,-1,285,M,F,1134,C,-1,-2,false,538
1870,M,4,4,1,285,L,F,1135,C,1,-1,false,538
1871,P,1,1,-1,286,M,F,1136,S,-1,-2,false,538
1872,M,3,7,-1,286,L,S,1136,C,0,-2,false,538
1873,P,1,1,-1,287,M,F,1137,C,-1,-3,false,538
1874,M,2,2,1,287,M,F,1138,S,1,-2,true,539
1875,M,2,5,-1,287,M,S,1138,S,0,-2,false,539
1876,M,3,4,1,287,L,S,1138,C,0,-2,false,539
1877,P,1,1,-1,288,M,F,1139,C,-1,-3,false,539
1878,M,3,3,-1,288,L,F,1140,C,-1,-4,false,539
1879,P,1,1,-1,289,M,F,1141,S,-1,-5,false,539
1880,M,3,5,-1,289,M,S,1141,S,0,-5,false,539
1881,M,3,4,1,289,M,S,1141,C,0,-5,false,539
1882,M,2,2,1,289,M,F,1142,C,1,-4,true,540
1883,M,2,2,1,289,M,F,1143,S,1,-3,true,541
1884,M,3,4,1,289,M,S,1143,C,0,-3,false,541
1885,M,3,3,-1,289,M,F,1144,C,-1,-4,false,541
1886,M,3,3,-1,289,M,F,1145,C,-1,-5,false,541
1887,M,3,3,-1,289,M,F,1146,S,-1,-6,false,541
1888,M,2,6,1,289,L,S,1146,C,0,-6,false,541
1889,P,1,1,-1,290,M,F,1147,S,-1,-7,false,541
1890,M,4,6,1,290,M,S,1147,C,0,-7,false,541
1891,M,2,2,1,290,M,F,1148,S,1,-6,true,542
1892,M,3,4,1,290,M,S,1148,C,0,-6,false,542
1893,M,2,2,1,290,M,F,1149,C,1,-5,true,543
1894,M,2,2,1,290,M,F,1150,C,1,-4,true,544
1895,M,2,2,1,290,M,F,1151,S,1,-3,true,545
1896,M,3,5,-1,290,M,S,1151,C,0,-3,false,545
1897,M,2,2,1,290,M,F,1152,C,1,-2,true,546
1898,M,3,3,-1,290,M,F,1153,S,-1,-3,false,546
1899,M,2,3,-1,290,M,S,1153,S,0,-3,false,546
1900,M,3,5,-1,290,L,S,1153,C,0,-3,false,546
1901,P,1,1,-1,291,M,F,1154,C,-1,-4,false,546
1902,M,3,3,-1,291,M,F,1155,C,-1,-5,false,546
1903,M,2,2,1,291,M,F,1156,S,1,-4,true,547
1904,M,3,6,1,291,M,S,1156,C,0,-4,false,547
1905,M,3,3,-1,291,M,F,1157,C,-1,-5,false,547
1906,M,2,2,1,291,L,F,1158,C,1,-4,true,548
1907,P,1,1,-1,292,M,F,1159,S,-1,-5,false,548
1908,M,3,5,-1,292,M,S,1159,C,0,-5,false,548
1909,M,2,2,1,292,M,F,1160,C,1,-4,true,549
1910,M,3,3,-1,292,M,F,1161,S,-1,-5,false,549
1911,M,3,4,1,292,M,S,1161,S,0,-5,false,549
1912,M,2,4,1,292,L,S,1161,C,0,-5,false,549
1913,P,1,1,-1,293,M,F,1162,C,-1,-6,false,549
1914,M,4,4,1,293,M,F,1163,C,1,-5,false,549
1915,M,2,2,1,293,M,F,1164,S,1,-4,true,550
1916,M,2,3,-1,293,M,S,1164,S,0,-4,false,550
1917,M,2,4,1,293,M,S,1164,C,0,-4,false,550
1918,M,3,3,-1,293,M,F,1165,C,-1,-5,false,550
1919,M,2,2,1,293,M,F,1166,S,1,-4,true,551
1920,M,3,9,-1,293,M,S,1166,C,0,-4,false,551
1921,M,2,2,1,293,M,F,1167,S,1,-3,true,552
1922,M,2,3,-1,293,M,S,1167,C,0,-3,false,552
1923,M,2,2,1,293,M,F,1168,S,1,-2,true,553
1924,M,3,4,1,293,M,S,1168,S,0,-2,false,553
1925,M,3,4,1,293,M,S,1168,S,0,-2,false,553
1926,M,3,4,1,293,M,S,1168,C,0,-2,false,553
1927,M,2,2,1,293,M,F,1169,S,1,-1,true,554
1928,M,2,4,1,293,M,S,1169,C,0,-1,false,554
1929,M,2,2,1,293,M,F,1170,C,1,0,true,555
1930,M,3,3,-1,293,L,F,1171,C,-1,-1,false,555
1931,P,1,1,-1,294,M,F,1172,S,-1,-2,false,555
1932,M,4,5,-1,294,L,S,1172,C,0,-2,false,555
1933,P,1,1,-1,295,M,F,1173,C,-1,-3,false,555
1934,M,2,2,1,295,M,F,1174,S,1,-2,true,556
1935,M,3,4,1,295,M,S,1174,S,0,-2,false,556
1936,M,2,6,1,295,M,S,1174,C,0,-2,false,556
1937,M,2,2,1,295,M,F,1175,C,1,-1,true,557
1938,M,4,4,1,295,M,F,1176,C,1,0,false,557
1939,M,2,2,1,295,M,F,1177,S,1,1,true,558
1940,M,3,4,1,295,M,S,1177,C,0,1,false,558
1941,M,2,2,1,295,M,F,1178,C,1,2,true,559
1942,M,2,2,1,295,M,F,1179,C,1,3,true,560
1943,M,2,2,1,295,M,F,1180,S,1,4,true,561
1944,M,2,8,1,295,M,S,1180,C,0,4,false,561
1945,M,2,2,1,295,M,F,1181,C,1,5,true,562
1946,M,3,3,-1,295,M,F,1182,C,-1,4,false,562
1947,M,3,3,-1,295,M,F,1183,S,-1,3,false,562
1948,M,2,3,-1,295,L,S,1183,C,0,3,false,562
1949,P,1,1,-1,296,M,F,1184,S,-1,2,false,562
1950,M,4,5,-1,296,L,S,1184,C,0,2,false,562
1951,P,1,1,-1,297,M,F,1185,S,-1,1,false,562
1952,M,2,6,1,297,M,S,1185,S,0,1,false,562
1953,M,3,4,1,297,M,S,1185,C,0,1,false,562
1954,M,2,2,1,297,M,F,1186,C,1,2,true,563
1955,M,3,3,-1,297,M,F,1187,S,-1,1,false,563
1956,M,3,4,1,297,M,S,1187,C,0,1,false,563
1957,M,2,2,1,297,M,F,1188,C,1,2,true,564
1958,M,3,3,-1,297,M,F,1189,C,-1,1,false,564
1959,M,2,2,1,297,M,F,1190,S,1,2,true,565
1960,M,3,6,1,297,M,S,1190,C,0,2,false,565
1961,M,2,2,1,297,M,F,1191,S,1,3,true,566
1962,M,3,4,1,297,M,S,1191,C,0,3,false,566
1963,M,2,2,1,297,M,F,1192,S,1,4,true,567
1964,M,2,3,-1,297,M,S,1192,C,0,4,false,567
1965,M,3,3,-1,297,M,F,1193,C,-1,3,false,567
1966,M,2,2,1,297,M,F,1194,C,1,4,true,568
1967,M,2,2,1,297,M,F,1195,S,1,5,true,569
1968,M,3,6,1,297,M,S,1195,C,0,5,false,569
1969,M,2,2,1,297,M,F,1196,C,1,6,true,570
1970,M,3,3,-1,297,M,F,1197,S,-1,5,false,570
1971,M,2,4,1,297,M,S,1197,S,0,5,false,570
1972,M,3,4,1,297,L,S,1197,C,0,5,false,570
1973,P,1,1,-1,298,M,F,1198,C,-1,4,false,570
1974,M,4,4,1,298,M,F,1199,S,1,5,false,570
1975,M,2,3,-1,298,M,S,1199,S,0,5,false,570
1976,M,3,5,-1,298,M,S,1199,C,0,5,false,570
1977,M,2,2,1,298,M,F,1200,C,1,6,true,571
1978,M,3,3,-1,298,L,F,1201,C,-1,5,false,571
1979,P,1,1,-1,299,M,F,1202,S,-1,4,false,571
1980,M,4,6,1,299,M,S,1202,C,0,4,false,571
1981,M,2,2,1,299,M,F,1203,C,1,5,true,572
1982,M,2,2,1,299,M,F,1204,C,1,6,true,573
1983,M,2,2,1,299,M,F,1205,S,1,7,true,574
1984,M,2,7,-1,299,M,S,1205,C,0,7,false,574
1985,M,2,2,1,299,M,F,1206,C,1,8,true,575
1986,M,3,3,-1,299,L,F,1207,C,-1,7,false,575
1987,P,1,1,-1,300,M,F,1208,S,-1,6,false,575
1988,M,3,4,1,300,M,S,1208,S,0,6,false,575
1989,M,3,4,1,300,M,S,1208,C,0,6,false,575
1990,M,3,3,-1,300,M,F,1209,C,-1,5,false,575
1991,M,2,2,1,300,M,F,1210,S,1,6,true,576
1992,M,3,5,-1,300,L,S,1210,C,0,6,false,576
1993,P,1,1,-1,301,M,F,1211,C,-1,5,false,576
1994,M,2,2,1,301,M,F,1212,C,1,6,true,577
1995,M,4,4,1,301,M,F,1213,S,1,7,false,577
1996,M,2,3,-1,301,L,S,1213,C,0,7,false,577
1997,P,1,1,-1,302,M,F,1214,S,-1,6,false,577
1998,M,3,5,-1,302,L,S,1214,C,0,6,false,577
1999,P,1,1,-1,303,M,F,1215,S,-1,5,false,577
2000,M,2,7,-1,303,M,S,1215,C,0,5,false,577
2001,M,3,3,-1,303,M,F,1216,C,-1,4,false,577
2002,M,4,4,1,303,L,F,1217,C,1,5,false,577
2003,P,1,1,-1,304,M,F,1218,S,-1,4,false,577
2004,M,3,4,1,304,M,S,1218,C,0,4,false,577
2005,M,2,2,1,304,M,F,1219,C,1,5,true,578
2006,M,3,3,-1,304,M,F,1220,S,-1,4,false,578
2007,M,2,3,-1,304,M,S,1220,S,0,4,false,578
2008,M,2,4,1,304,M,S,1220,S,0,4,false,578
2009,M,2,3,-1,304,M,S,1220,C,0,4,false,578
2010,M,4,4,1,304,L,F,1221,C,1,5,false,578
2011,P,1,1,-1,305,M,F,1222,S,-1,4,false,578
2012,M,2,3,-1,305,M,S,1222,C,0,4,false,578
2013,M,3,3,-1,305,M,F,1223,C,-1,3,false,578
2014,M,3,3,-1,305,M,F,1224,C,-1,2,false,578
2015,M,3,3,-1,305,M,F,1225,S,-1,1,false,578
2016,M,3,8,1,305,L,S,1225,C,0,1,false,578
2017,P,1,1,-1,306,M,F,1226,C,-1,0,false,578
2018,M,2,2,1,306,M,F,1227,C,1,1,true,579
2019,M,2,2,1,306,M,F,1228,S,1,2,true,580
2020,M,3,4,1,306,M,S,1228,C,0,2,false,580
2021,M,2,2,1,306,M,F,1229,C,1,3,true,581
2022,M,3,3,-1,306,M,F,1230,S,-1,2,false,581
2023,M,2,3,-1,306,M,S,1230,S,0,2,false,581
2024,M,3,5,-1,306,M,S,1230,S,0,2,false,581
2025,M,2,6,1,306,M,S,1230,C,0,2,false,581
2026,M,2,2,1,306,L,F,1231,C,1,3,true,582
2027,P,1,1,-1,307,M,F,1232,S,-1,2,false,582
2028,M,3,5,-1,307,L,S,1232,C,0,2,false,582
2029,P,1,1,-1,308,M,F,1233,C,-1,1,false,582
2030,M,4,4,1,308,M,F,1234,C,1,2,false,582
2031,M,2,2,1,308,M,F,1235,S,1,3,true,583
2032,M,2,5,-1,308,M,S,1235,C,0,3,false,583
2033,M,2,2,1,308,M,F,1236,S,1,4,true,584
2034,M,3,4,1,308,M,S,1236,C,0,4,false,584
2035,M,3,3,-1,308,M,F,1237,S,-1,3,false,584
2036,M,2,3,-1,308,M,S,1237,C,0,3,false,584
2037,M,3,3,-1,308,M,F,1238,C,-1,2,false,584
2038,M,2,2,1,308,L,F,1239,C,1,3,true,585
2039,P,1,1,-1,309,M,F,1240,S,-1,2,false,585
2040,M,4,6,1,309,M,S,1240,C,0,2,false,585
2041,M,2,2,1,309,M,F,1241,C,1,3,true,586
2042,M,2,2,1,309,M,F,1242,S,1,4,true,587
2043,M,2,3,-1,309,M,S,1242,S,0,4,false,587
2044,M,3,4,1,309,M,S,1242,C,0,4,false,587
2045,M,2,2,1,309,M,F,1243,C,1,5,true,588
2046,M,4,4,1,309,M,F,1244,C,1,6,false,588
2047,M,2,2,1,309,M,F,1245,S,1,7,true,589
2048,M,1,11,-1,309,M,S,1245,C,0,7,false,589
2049,M,2,2,1,309,M,F,1246,S,1,8,true,590
2050,M,3,4,1,309,M,S,1246,C,0,8,false,590
2051,M,2,2,1,309,M,F,1247,S,1,9,true,591
2052,M,3,6,1,309,L,S,1247,C,0,9,false,591
2053,P,1,1,-1,310,M,F,1248,C,-1,8,false,591
2054,M,3,3,-1,310,M,F,1249,C,-1,7,false,591
2055,M,3,3,-1,310,M,F,1250,S,-1,6,false,591
2056,M,2,4,1,310,M,S,1250,S,0,6,false,591
2057,M,2,3,-1,310,M,S,1250,S,0,6,false,591
2058,M,3,5,-1,310,M,S,1250,C,0,6,false,591
2059,M,2,2,1,310,M,F,1251,S,1,7,true,592
2060,M,3,4,1,310,M,S,1251,S,0,7,false,592
2061,M,2,3,-1,310,M,S,1251,C,0,7,false,592
2062,M,2,2,1,310,L,F,1252,C,1,8,true,593
2063,P,1,1,-1,311,M,F,1253,S,-1,7,false,593
2064,M,3,6,1,311,M,S,1253,C,0,7,false,593
2065,M,3,3,-1,311,M,F,1254,C,-1,6,false,593
2066,M,2,2,1,311,M,F,1255,C,1,7,true,594
2067,M,3,3,-1,311,M,F,1256,S,-1,6,false,594
2068,M,3,4,1,311,L,S,1256,C,0,6,false,594
2069,P,1,1,-1,312,M,F,1257,S,-1,5,false,594
2070,M,4,5,-1,312,M,S,1257,C,0,5,false,594
2071,M,2,2,1,312,M,F,1258,S,1,6,true,595
2072,M,3,5,-1,312,M,S,1258,C,0,6,false,595
2073,M,2,2,1,312,M,F,1259,C,1,7,true,596
2074,M,3,3,-1,312,M,F,1260,S,-1,6,false,596
2075,M,2,3,-1,312,M,S,1260,S,0,6,false,596
2076,M,3,4,1,312,M,S,1260,C,0,6,false,596
2077,M,2,2,1,312,M,F,1261,C,1,7,true,597
2078,M,2,2,1,312,M,F,1262,S,1,8,true,598
2079,M,3,5,-1,312,M,S,1262,S,0,8,false,598
2080,M,3,7,-1,312,L,S,1262,C,0,8,false,598
2081,P,1,1,-1,313,M,F,1263,C,-1,7,false,598
2082,M,3,3,-1,313,L,F,1264,C,-1,6,false,598
2083,P,1,1,-1,314,M,F,1265,S,-1,5,false,598
2084,M,2,3,-1,314,M,S,1265,C,0,5,false,598
2085,M,3,3,-1,314,M,F,1266,C,-1,4,false,598
2086,M,3,3,-1,314,L,F,1267,C,-1,3,false,598
2087,P,1,1,-1,315,M,F,1268,S,-1,2,false,598
2088,M,3,6,1,315,L,S,1268,C,0,2,false,598
2089,P,1,1,-1,316,M,F,1269,C,-1,1,false,598
2090,M,4,4,1,316,M,F,1270,C,1,2,false,598
2091,M,3,3,-1,316,M,F,1271,S,-1,1,false,598
2092,M,2,3,-1,316,M,S,1271,C,0,1,false,598
2093,M,3,3,-1,316,M,F,1272,C,-1,0,false,598
2094,M,3,3,-1,316,M,F,1273,C,-1,-1,false,598
2095,M,2,2,1,316,M,F,1274,S,1,0,true,599
2096,M,2,5,-1,316,M,S,1274,S,0,0,false,599
2097,M,2,3,-1,316,M,S,1274,C,0,0,false,599
2098,M,2,2,1,316,L,F,1275,C,1,1,true,600
2099,P,1,1,-1,317,M,F,1276,S,-1,0,false,600
2100,M,4,6,1,317,M,S,1276,C,0,0,false,600
2101,M,2,2,1,317,M,F,1277,C,1,1,true,601
2102,M,2,2,1,317,M,F,1278,C,1,2,true,602
2103,M,2,2,1,317,M,F,1279,S,1,3,true,603
2104,M,2,4,1,317,M,S,1279,C,0,3,false,603
2105,M,2,2,1,317,M,F,1280,S,1,4,true,604
2106,M,3,6,1,317,M,S,1280,S,0,4,false,604
2107,M,2,3,-1,317,M,S,1280,S,0,4,false,604
2108,M,3,4,1,317,M,S,1280,C,0,4,false,604
2109,M,3,3,-1,317,M,F,1281,C,-1,3,false,604
2110,M,3,3,-1,317,L,F,1282,C,-1,2,false,604
2111,P,1,1,-1,318,M,F,1283,S,-1,1,false,604
2112,M,3,8,1,318,L,S,1283,C,0,1,false,604
2113,P,1,1,-1,319,M,F,1284,C,-1,0,false,604
2114,M,3,3,-1,319,M,F,1285,S,-1,-1,false,604
2115,M,3,4,1,319,M,S,1285,S,0,-1,false,604
2116,M,2,4,1,319,M,S,1285,C,0,-1,false,604
2117,M,2,2,1,319,M,F,1286,C,1,0,true,605
2118,M,3,3,-1,319,M,F,1287,C,-1,-1,false,605
2119,M,2,2,1,319,M,F,1288,S,1,0,true,606
2120,M,3,5,-1,319,M,S,1288,C,0,0,false,606
2121,M,3,3,-1,319,M,F,1289,C,-1,-1,false,606
2122,M,2,2,1,319,M,F,1290,C,1,0,true,607
2123,M,2,2,1,319,M,F,1291,S,1,1,true,608
2124,M,3,5,-1,319,M,S,1291,S,0,1,false,608
2125,M,2,4,1,319,M,S,1291,C,0,1,false,608
2126,M,2,2,1,319,M,F,1292,C,1,2,true,609
2127,M,2,2,1,319,M,F,1293,S,1,3,true,610
2128,M,3,6,1,319,L,S,1293,C,0,3,false,610
2129,P,1,1,-1,320,M,F,1294,C,-1,2,false,610
2130,M,4,4,1,320,L,F,1295,C,1,3,false,610
2131,P,1,1,-1,321,M,F,1296,S,-1,2,false,610
2132,M,3,4,1,321,M,S,1296,S,0,2,false,610
2133,M,2,4,1,321,M,S,1296,C,0,2,false,610
2134,M,3,3,-1,321,M,F,1297,C,-1,1,false,610
2135,M,3,3,-1,321,M,F,1298,S,-1,0,false,610
2136,M,3,5,-1,321,L,S,1298,C,0,0,false,610
2137,P,1,1,-1,322,M,F,1299,C,-1,-1,false,610
2138,M,2,2,1,322,M,F,1300,C,1,0,true,611
2139,M,3,3,-1,322,M,F,1301,S,-1,-1,false,611
2140,M,3,4,1,322,L,S,1301,C,0,-1,false,611
2141,P,1,1,-1,323,M,F,1302,S,-1,-2,false,611
2142,M,4,5,-1,323,L,S,1302,C,0,-2,false,611
2143,P,1,1,-1,324,M,F,1303,S,-1,-3,false,611
2144,M,2,6,1,324,M,S,1303,C,0,-3,false,611
2145,M,4,4,1,324,M,F,1304,C,1,-2,false,611
2146,M,3,3,-1,324,M,F,1305,C,-1,-3,false,611
2147,M,2,2,1,324,M,F,1306,S,1,-2,true,612
2148,M,3,4,1,324,M,S,1306,C,0,-2,false,612
2149,M,2,2,1,324,M,F,1307,S,1,-1,true,613
2150,M,3,4,1,324,M,S,1307,S,0,-1,false,613
