n,register_e_symbol,omega_lower_case,omega_upper_case,liouville_function,prime_counter,tape_cp_n_start,register_psf_out,prime_square_free_counter,tape_psf_n_start,mobius_function_mu,mertens_function,semiprime,semiprime_counter
4398,M,3,3,-1,599,M,F,2676,C,-1,-10,false,1206
4399,M,2,2,1,599,M,F,2677,S,1,-9,true,1207
4400,M,3,7,-1,599,M,S,2677,S,0,-9,false,1207
4401,M,2,4,1,599,M,S,2677,C,0,-9,false,1207
4402,M,3,3,-1,599,M,F,2678,C,-1,-10,false,1207
4403,M,3,3,-1,599,M,F,2679,S,-1,-11,false,1207
4404,M,3,4,1,599,M,S,2679,C,0,-11,false,1207
4405,M,2,2,1,599,M,F,2680,C,1,-10,true,1208
4406,M,2,2,1,599,M,F,2681,C,1,-9,true,1209
4407,M,3,3,-1,599,M,F,2682,S,-1,-10,false,1209
4408,M,3,5,-1,599,L,S,2682,C,0,-10,false,1209
4409,P,1,1,-1,600,M,F,2683,S,-1,-11,false,1209
4410,M,4,6,1,600,M,S,2683,C,0,-11,false,1209
4411,M,2,2,1,600,M,F,2684,S,1,-10,true,1210
4412,M,2,3,-1,600,M,S,2684,C,0,-10,false,1210
4413,M,2,2,1,600,M,F,2685,C,1,-9,true,1211
4414,M,2,2,1,600,M,F,2686,C,1,-8,true,1212
4415,M,2,2,1,600,M,F,2687,S,1,-7,true,1213
4416,M,3,8,1,600,M,S,2687,C,0,-7,false,1213
4417,M,2,2,1,600,M,F,2688,S,1,-6,true,1214
4418,M,2,3,-1,600,M,S,2688,S,0,-6,false,1214
4419,M,2,3,-1,600,M,S,2688,S,0,-6,false,1214
4420,M,4,5,-1,600,L,S,2688,C,0,-6,false,1214
4421,P,1,1,-1,601,M,F,2689,C,-1,-7,false,1214
4422,M,4,4,1,601,L,F,2690,C,1,-6,false,1214
4423,P,1,1,-1,602,M,F,2691,S,-1,-7,false,1214
4424,M,3,5,-1,602,M,S,2691,S,0,-7,false,1214
4425,M,3,4,1,602,M,S,2691,C,0,-7,false,1214
4426,M,2,2,1,602,M,F,2692,C,1,-6,true,1215
4427,M,2,2,1,602,M,F,2693,S,1,-5,true,1216
4428,M,3,6,1,602,M,S,2693,C,0,-5,false,1216
4429,M,2,2,1,602,M,F,2694,C,1,-4,true,1217
4430,M,3,3,-1,602,M,F,2695,C,-1,-5,false,1217
4431,M,3,3,-1,602,M,F,2696,S,-1,-6,false,1217
4432,M,2,5,-1,602,M,S,2696,C,0,-6,false,1217
4433,M,3,3,-1,602,M,F,2697,C,-1,-7,false,1217
4434,M,3,3,-1,602,M,F,2698,C,-1,-8,false,1217
4435,M,2,2,1,602,M,F,2699,S,1,-7,true,1218
4436,M,2,3,-1,602,M,S,2699,S,0,-7,false,1218
4437,M,3,4,1,602,M,S,2699,C,0,-7,false,1218
4438,M,3,3,-1,602,M,F,2700,C,-1,-8,false,1218
4439,M,2,2,1,602,M,F,2701,S,1,-7,true,1219
4440,M,4,6,1,602,L,S,2701,C,0,-7,false,1219
4441,P,1,1,-1,603,M,F,2702,C,-1,-8,false,1219
4442,M,2,2,1,603,M,F,2703,C,1,-7,true,1220
4443,M,2,2,1,603,M,F,2704,S,1,-6,true,1221
4444,M,3,4,1,603,M,S,2704,C,0,-6,false,1221
4445,M,3,3,-1,603,M,F,2705,S,-1,-7,false,1221
4446,M,4,5,-1,603,L,S,2705,C,0,-7,false,1221
4447,P,1,1,-1,604,M,F,2706,S,-1,-8,false,1221
4448,M,2,6,1,604,M,S,2706,C,0,-8,false,1221
4449,M,2,2,1,604,M,F,2707,S,1,-7,true,1222
4450,M,3,4,1,604,L,S,2707,C,0,-7,false,1222
4451,P,1,1,-1,605,M,F,2708,S,-1,-8,false,1222
4452,M,4,5,-1,605,M,S,2708,C,0,-8,false,1222
4453,M,2,2,1,605,M,F,2709,C,1,-7,true,1223
4454,M,3,3,-1,605,M,F,2710,S,-1,-8,false,1223
4455,M,3,6,1,605,M,S,2710,S,0,-8,false,1223
4456,M,2,4,1,605,L,S,2710,C,0,-8,false,1223
4457,P,1,1,-1,606,M,F,2711,C,-1,-9,false,1223
4458,M,3,3,-1,606,M,F,2712,S,-1,-10,false,1223
4459,M,2,4,1,606,M,S,2712,S,0,-10,false,1223
4460,M,3,4,1,606,M,S,2712,C,0,-10,false,1223
4461,M,2,2,1,606,M,F,2713,C,1,-9,true,1224
4462,M,3,3,-1,606,L,F,2714,C,-1,-10,false,1224
4463,P,1,1,-1,607,M,F,2715,S,-1,-11,false,1224
4464,M,3,7,-1,607,M,S,2715,C,0,-11,false,1224
4465,M,3,3,-1,607,M,F,2716,C,-1,-12,false,1224
4466,M,4,4,1,607,M,F,2717,C,1,-11,false,1224
4467,M,2,2,1,607,M,F,2718,S,1,-10,true,1225
4468,M,2,3,-1,607,M,S,2718,C,0,-10,false,1225
4469,M,2,2,1,607,M,F,2719,C,1,-9,true,1226
4470,M,4,4,1,607,M,F,2720,C,1,-8,false,1226
4471,M,2,2,1,607,M,F,2721,S,1,-7,true,1227
4472,M,3,5,-1,607,M,S,2721,S,0,-7,false,1227
4473,M,3,4,1,607,M,S,2721,C,0,-7,false,1227
4474,M,2,2,1,607,M,F,2722,S,1,-6,true,1228
4475,M,2,3,-1,607,M,S,2722,S,0,-6,false,1228
